episode,mean_reward
1690,-167.01
1691,-167.16
1692,-167.67
1693,-168.02
1694,-167.37
1695,-167.74
1696,-167.85
1697,-167.69
1698,-168.18
1699,-168.19
1700,-168.41
1701,-167.96
1702,-169.89
1703,-170.46
1704,-170.96
1705,-171.2
1706,-171.49
1707,-172.59
1708,-174.71
1709,-176.14
1710,-177.49
1711,-177.98
1712,-178.94
1713,-178.88
1714,-179.65
1715,-180.29
1716,-180.49
1717,-180.22
1718,-180.29
1719,-181.59
1720,-181.51
1721,-183.93
1722,-184.11
1723,-183.11
1724,-184.45
1725,-184.61
1726,-184.52
1727,-184.2
1728,-185.77
1729,-186.19
1730,-185.65
1731,-185.87
1732,-187.22
1733,-187.11
1734,-186.63
1735,-187.31
1736,-187.9
1737,-187.71
1738,-187.74
1739,-187.56
1740,-188.37
1741,-188.22
1742,-188.62
1743,-188.85
1744,-188.93
1745,-186.93
1746,-188.58
1747,-188.86
1748,-188.8
1749,-189.1
1750,-189.53
1751,-190.22
1752,-190.94
1753,-191.18
1754,-190.2
1755,-190.62
1756,-190.66
1757,-190.3
1758,-190.65
1759,-190.06
1760,-190.6
1761,-191.07
1762,-191.17
1763,-190.9
1764,-191.05
1765,-191.59
1766,-191.49
1767,-189.69
1768,-189.48
1769,-191.47
1770,-190.87
1771,-190.85
1772,-190.91
1773,-189.79
1774,-189.68
1775,-189.89
1776,-190.32
1777,-188.86
1778,-189.21
1779,-187.32
1780,-187.99
1781,-187.67
1782,-186.61
1783,-186.86
1784,-186.86
1785,-188.87
1786,-188.07
1787,-187.52
1788,-188.48
1789,-188.04
1790,-188.3
1791,-188.7
1792,-187.77
1793,-188.14
1794,-188.41
1795,-189.19
1796,-190.66
1797,-190.86
1798,-190.37
1799,-190.68
1800,-190.87
1801,-191.49
1802,-190.14
1803,-190.24
1804,-190.01
1805,-190.22
1806,-190.45
1807,-190.09
1808,-188.45
1809,-187.18
1810,-186.28
1811,-186.1
1812,-185.43
1813,-186.41
1814,-186.53
1815,-186.23
1816,-185.75
1817,-186.12
1818,-184.96
1819,-186.18
1820,-187.07
1821,-183.94
1822,-183.67
1823,-183.87
1824,-182.42
1825,-182.89
1826,-182.72
1827,-183.02
1828,-181.33
1829,-181.77
1830,-182.14
1831,-181.71
1832,-180.44
1833,-180.3
1834,-180.46
1835,-179.54
1836,-180.41
1837,-180.69
1838,-180.86
1839,-181.99
1840,-180.88
1841,-180.51
1842,-180.3
1843,-180.09
1844,-180.8
1845,-183.04
1846,-182.2
1847,-182.66
1848,-182.08
1849,-181.85
1850,-181.87
1851,-181.27
1852,-181.56
1853,-181.1
1854,-181.0
1855,-181.4
1856,-181.32
1857,-181.37
1858,-181.2
1859,-180.98
1860,-181.2
1861,-180.64
1862,-180.34
1863,-180.56
1864,-180.39
1865,-181.46
1866,-181.99
1867,-182.64
1868,-182.71
1869,-180.49
1870,-180.62
1871,-180.63
1872,-180.27
1873,-179.81
1874,-180.39
1875,-179.85
1876,-179.73
1877,-178.84
1878,-179.25
1879,-179.38
1880,-179.42
1881,-178.85
1882,-178.63
1883,-177.95
1884,-177.96
1885,-175.94
1886,-175.86
1887,-176.12
1888,-175.47
1889,-175.17
1890,-174.8
1891,-173.69
1892,-173.62
1893,-173.18
1894,-172.93
1895,-172.43
1896,-170.86
1897,-170.5
1898,-170.24
1899,-170.04
1900,-169.85
